DDATE,price_per_mile,total_fluc_50,total_fluc_70,total_fluc_120,avg_price,pct_change,trend
2019-04-26,0.345421306882481,0.0,0.0,0.057667675089514425,0.39313157632207546,0.12135954553929677,Decrease
2019-04-27,0.4343403993466385,0.0,0.0,0.7095918132182825,0.3902503550890377,-0.11297887031401006,Decrease
2019-04-28,0.46907258763794984,0.0,-0.08275890629781762,0.14181446048848761,0.39535503331424887,-0.1864591268909087,Decrease
2019-04-29,0.41166623251560547,0.0,0.0,0.5064122166404197,0.3846022566879482,-0.07036873902072807,Decrease
2019-04-30,0.3224479137266114,0.0,0.0,0.49450839712406286,0.37514297293521115,0.14046660342935546,Decrease
2019-05-01,0.4387002459596295,0.0,0.0,0.5680188357776301,0.38663348898714545,-0.13466696097351027,Decrease
2019-05-02,0.3332582403346215,0.0,0.7729263517161904,0.9116982114224244,0.3915784523369763,0.14893621355898012,Decrease
2019-05-03,0.44133286408858524,0.0,0.0,0.0858293795722375,0.3995299738115153,-0.10463017299620966,Decrease
2019-05-04,0.3285544806187804,0.0,0.0,0.40822154975031866,0.39742162052855273,0.1732848349271541,Decrease
2019-05-05,0.48342240816575904,0.0,0.0,0.29580937015550035,0.4035568716309428,-0.19790404314526003,Decrease
2019-05-06,0.43607361367783176,0.0,-0.05653029288057637,0.14084928126237584,0.399431999885928,-0.09173429720795555,Decrease
2019-05-07,0.38334272570213085,0.0,0.0,0.34793868397267774,0.39589156153424365,0.03169765928700494,Decrease
2019-05-08,0.2722802065948781,0.0,0.0,0.5839031373901922,0.389620598142777,0.3011657805240044,Increase
2019-05-09,0.3898765948587599,0.0,0.0,0.4098693933855491,0.38351764175516834,-0.01658060128470188,Decrease
2019-05-10,0.3278420424709601,0.0,0.0,0.3751571246368531,0.38284061702221067,0.1436591942073372,Decrease
2019-05-11,0.3721372336545684,0.0,0.0,0.19548181557865213,0.3741911632179586,0.0054889846829274435,Decrease
2019-05-12,0.37609349761719785,0.0,0.0,0.12099050172378284,0.38013354034276076,0.01062795648581828,Decrease
2019-05-13,0.4197761404493411,0.0,0.19171913211659525,0.332908842423982,0.3721777568782085,-0.1278915321817814,Decrease
2019-05-14,0.32690056109446475,0.0,0.0,0.4283769846707143,0.35853112530528763,0.08822264506014535,Decrease
2019-05-15,0.38062395440029684,0.0,0.0,0.2030420593257446,0.3581912788925584,-0.06262764290938315,Decrease
2019-05-16,0.4295599733647633,0.0,0.0,0.20297470849962304,0.377851249738794,-0.13684941802287323,Decrease
2019-05-17,0.38446702266498206,0.0,0.03954479970739899,0.4863510392199094,0.37717505321457184,-0.019333117045421018,Decrease
2019-05-18,0.45301132144542394,0.0,0.0,0.03422056501229474,0.39282121308637985,-0.15322519852258723,Decrease
2019-05-19,0.5451614760987618,0.0,0.29647960832552683,0.3193065041422138,0.41444924339190403,-0.3153877942618319,Decrease
2019-05-20,0.6522988799388818,0.0,0.0,0.24358735236917772,0.4489749161821144,-0.4528626353689092,Decrease
2019-05-21,0.42163387038937167,0.0,0.0,0.12741778679351956,0.44920713242461824,0.06138206641203245,Decrease
2019-05-22,0.46119543700384974,0.0,0.0,0.04191669728137726,0.4659939919132914,0.010297460895878937,Decrease
2019-05-23,0.46930377630888703,0.0,0.0,0.27927252981571454,0.47707896965186514,0.016297497558217314,Decrease
2019-05-24,0.42874227367596546,0.0,0.0,0.07963829564984662,0.47697675719076543,0.10112543805883761,Decrease
2019-05-25,0.42329897913748854,0.0,0.0,0.4567562399995603,0.4818307517498287,0.12147786831740129,Decrease
2019-05-26,0.423898478843668,0.0,0.0,0.07426274630779245,0.47819164642460926,0.11353851115318683,Decrease
2019-05-27,0.4733352801387505,0.0,0.0,0.5767402498855463,0.4692133719296079,-0.008784720248256212,Decrease
2019-05-28,0.41252686665254673,0.0,0.0,0.12269226155957763,0.43924187026881595,0.06082071274288956,Decrease
2019-05-29,0.41771509610913465,0.0,0.0,0.225887591340691,0.43875202348378634,0.04794719169068193,Decrease
2019-05-30,0.33386706842545266,0.0,0.0,0.18714653691095562,0.42283597741148665,0.2104099786652097,Increase
2019-05-31,0.40994686352669224,0.0,0.0,0.24196139448602588,0.4154163633137123,0.013166307998535957,Decrease
2019-06-01,0.4294614471468671,0.0,0.0,0.088837084113991,0.415506259997575,-0.03358598532155342,Decrease
2019-06-02,0.45381082034182996,0.0,0.0,0.0784922083384394,0.4193202401481177,-0.08225355442305636,Decrease
2019-06-03,0.40790481581632676,0.0,0.0,-0.0707084424146493,0.4173210322697,0.022563484045270664,Decrease
2019-06-04,0.3956525741578098,0.0,0.0,0.33259497669940224,0.4076106940220825,0.02933711023691852,Decrease
