,AGENCY,PDATE,DDATE,LOR,MIN_DAILY_FARE,AVG_DAILY_FARE,MONTH_PDATE,DAY_PDATE
8968,ZR,2019-01-02,2019-01-05,3,18.75333333,40.733647618457,01,02
8997,ZL,2019-01-02,2019-01-07,5,77.42,93.607396226415,01,02
10716,ZR,2019-01-02,2019-01-07,5,25.044,30.285212698413,01,02
5629,ET,2019-01-03,2019-01-07,4,23.9775,64.157202194357,01,03
10697,ZT,2019-01-03,2019-01-11,8,17.45625,35.189236111111,01,03
10710,ZD,2019-01-03,2019-01-07,4,22.5475,67.4841015625,01,03
5599,ZT,2019-01-03,2019-01-09,6,21.00166667,22.275412597557,01,03
7367,ZL,2019-01-03,2019-01-12,9,58.42777778,78.879707792987,01,03
3864,ZD,2019-01-03,2019-01-09,6,31.51666667,63.45005428967399,01,03
5597,ZE,2019-01-03,2019-01-09,6,25.61833333,54.174669230631,01,03
5630,ZT,2019-01-03,2019-01-07,4,18.705,31.2632109375,01,03
10702,ZT,2019-01-03,2019-01-12,9,16.89888889,29.927061965577,01,03
5598,ZL,2019-01-03,2019-01-09,6,62.69833333,79.16100750199399,01,03
5596,ZI,2019-01-03,2019-01-09,6,31.86,65.367638434919,01,03
3858,ZR,2019-01-03,2019-01-05,2,18.76,37.277126805777996,01,03
3938,ZI,2019-01-03,2019-01-11,8,26.82125,53.359837133549995,01,03
3893,AL,2019-01-03,2019-01-12,9,21.02777778,57.968388709968,01,03
7339,ZE,2019-01-03,2019-01-06,3,24.96666667,62.353634572559,01,03
10719,ZT,2019-01-03,2019-01-08,5,24.966,28.607974440895,01,03
385,ZI,2019-01-03,2019-01-05,2,23.38,70.305072115385,01,03
10718,AL,2019-01-03,2019-01-08,5,30.4,64.779855799373,01,03
386,AL,2019-01-03,2019-01-05,2,22.42,61.931701277955,01,03
7325,AL,2019-01-03,2019-01-04,1,22.4,60.436602564103005,01,03
5575,ZR,2019-01-03,2019-01-06,3,18.75333333,56.898682452896004,01,03
5585,ZR,2019-01-03,2019-01-04,1,18.76,54.869324758842,01,03
7324,ZL,2019-01-03,2019-01-04,1,53.07,92.78015822784799,01,03
5579,ZD,2019-01-03,2019-01-12,9,26.00777778,52.750936049518,01,03
7320,ZT,2019-01-03,2019-01-05,2,18.71,35.187520064204996,01,03
397,ET,2019-01-03,2019-01-09,6,23.885,55.669190938285,01,03
3937,AL,2019-01-03,2019-01-11,8,21.55,58.438304738562,01,03
5628,ZR,2019-01-03,2019-01-07,4,18.755,38.975924764889996,01,03
7344,ZD,2019-01-03,2019-01-10,7,27.19571429,54.876596640261,01,03
7364,ZL,2019-01-03,2019-01-11,8,59.5,79.423856907895,01,03
4007,ZR,2019-01-03,2019-01-11,8,17.5125,36.988598856209,01,03
3849,ZI,2019-01-03,2019-01-08,5,37.978,77.914044444444,01,03
8981,ET,2019-01-03,2019-01-11,8,24.215,60.20381557377,01,03
2131,ET,2019-01-03,2019-01-05,2,23.965,65.184059011164,01,03
445,ZR,2019-01-03,2019-01-08,5,25.044,29.308837060703002,01,03
12369,ET,2019-01-03,2019-01-06,3,23.98,61.926024024505,01,03
12370,ZT,2019-01-03,2019-01-06,3,18.70333333,34.386466301111,01,03
12376,ZR,2019-01-03,2019-01-12,9,16.95555556,30.394401708782002,01,03
12388,ZT,2019-01-03,2019-01-04,1,18.71,55.436645161289995,01,03
12389,ZE,2019-01-03,2019-01-04,1,26.87,79.679682997118,01,03
12397,ZD,2019-01-03,2019-01-08,5,37.564,75.86616507936499,01,03
12398,ZE,2019-01-03,2019-01-10,7,22.14714286,47.17219812936,01,03
3848,ZL,2019-01-03,2019-01-08,5,74.924,93.848391167192,01,03
2163,ZT,2019-01-03,2019-01-10,7,18.17285714,31.78490806231,01,03
12413,ZL,2019-01-03,2019-01-05,2,53.065,93.437027027027,01,03
12414,ZD,2019-01-03,2019-01-05,2,22.545,67.405592,01,03
2164,ET,2019-01-03,2019-01-10,7,20.34857143,50.347519777036,01,03
10671,AL,2019-01-03,2019-01-09,6,25.59666667,54.324046088778,01,03
2165,ZL,2019-01-03,2019-01-10,7,53.87428571,67.078129032677,01,03
2302,ZE,2019-01-03,2019-01-07,4,24.965,53.653048523207,01,03
10670,ZR,2019-01-03,2019-01-09,6,21.06833333,22.881107489055,01,03
10665,ZI,2019-01-03,2019-01-04,1,39.19,88.248770226537,01,03
2178,ZD,2019-01-03,2019-01-11,8,26.52875,52.78247970779199,01,03
2202,ET,2019-01-03,2019-01-08,5,28.346,66.737028391167,01,03
2201,ZE,2019-01-03,2019-01-08,5,30.504,65.600040875912,01,03
2190,AL,2019-01-03,2019-01-07,4,22.4375,66.172821316614,01,03
2189,ZL,2019-01-03,2019-01-07,4,53.06,93.93231191222601,01,03
437,ZI,2019-01-03,2019-01-07,4,23.3775,69.6313515625,01,03
8942,ZI,2019-01-03,2019-01-06,3,23.37666667,73.70164541486301,01,03
12399,ZI,2019-01-03,2019-01-10,7,27.49142857,55.962688522327994,01,03
8941,ZL,2019-01-03,2019-01-06,3,53.06,94.687154912224,01,03
2132,ZE,2019-01-03,2019-01-05,2,24.97,53.773831263696,01,03
8980,ZE,2019-01-03,2019-01-11,8,21.4775,45.590493713018,01,03
3842,ET,2019-01-03,2019-01-04,1,23.95,63.659646302251,01,03
3838,ZR,2019-01-03,2019-01-10,7,18.22857143,45.295204762133,01,03
1998,ET,2019-01-03,2019-01-12,9,23.69444444,59.596960572160995,01,03
3835,AL,2019-01-03,2019-01-06,3,22.43666667,59.397436824152,01,03
1997,ZE,2019-01-03,2019-01-12,9,20.95888889,46.99552004715,01,03
10685,AL,2019-01-03,2019-01-10,7,22.22,47.767447990647,01,03
8940,ZD,2019-01-03,2019-01-06,3,22.54666667,70.557278787818,01,03
429,ZI,2019-01-03,2019-01-12,9,26.3,53.417681313601,01,03
3843,ZD,2019-01-03,2019-01-04,1,37.56,76.37693548387101,01,03
10661,ET,2019-01-04,2019-01-06,2,23.965,68.620934210526,01,04
5618,ZL,2019-01-04,2019-01-12,8,55.37625,83.800345070423,01,04
3860,ZT,2019-01-04,2019-01-06,2,18.71,43.012420634921,01,04
5612,ZL,2019-01-04,2019-01-11,7,55.03857143,70.977877320226,01,04
3845,ZI,2019-01-04,2019-01-05,1,25.81,71.476150081566,01,04
3844,AL,2019-01-04,2019-01-05,1,22.39,64.837268370607,01,04
10660,ZD,2019-01-04,2019-01-06,2,22.545,59.335989445909995,01,04
10698,ZE,2019-01-04,2019-01-12,8,21.4775,62.002299713877,01,04
398,ZL,2019-01-04,2019-01-10,6,64.055,78.193333331532,01,04
5600,ZT,2019-01-04,2019-01-10,6,21.00166667,30.418319446778003,01,04
8943,ZR,2019-01-04,2019-01-07,3,18.75333333,58.17354339403,01,04
2167,ZR,2019-01-04,2019-01-11,7,18.22857143,37.629016806940996,01,04
2166,AL,2019-01-04,2019-01-11,7,22.22,49.122539237099,01,04
8954,ZD,2019-01-04,2019-01-10,6,31.51666667,55.692333333611,01,04
3839,ZI,2019-01-04,2019-01-11,7,27.49142857,55.971189075440996,01,04
5601,ZR,2019-01-04,2019-01-10,6,21.06833333,30.559675924,01,04
9000,AL,2019-01-04,2019-01-09,5,30.4,67.810309782609,01,04
10699,ZR,2019-01-04,2019-01-12,8,17.5125,43.589086956521996,01,04
2193,ZL,2019-01-04,2019-01-08,4,53.075,90.30956624605699,01,04
10703,ET,2019-01-04,2019-01-13,9,20.96,60.420413223608996,01,04
10645,AL,2019-01-04,2019-01-07,3,22.43666667,62.882679847578004,01,04
3850,ZI,2019-01-04,2019-01-09,5,37.978,74.84241758241801,01,04
10701,ET,2019-01-04,2019-01-12,8,21.48125,61.024028169013995,01,04
10641,ZT,2019-01-04,2019-01-07,3,18.70333333,47.219662797148,01,04
561,ZE,2019-01-04,2019-01-10,6,25.61833333,50.858995204058,01,04
3859,ZR,2019-01-04,2019-01-06,2,18.76,51.253425925925995,01,04
10700,ZT,2019-01-04,2019-01-12,8,17.45625,44.197518115942,01,04
5640,ZL,2019-01-04,2019-01-09,5,76.552,92.91886027397301,01,04
399,ZI,2019-01-04,2019-01-10,6,31.86,63.366522747911,01,04
5632,ET,2019-01-04,2019-01-08,4,23.99,64.878138801262,01,04
5631,AL,2019-01-04,2019-01-08,4,22.4475,65.923730407524,01,04
2191,ZE,2019-01-04,2019-01-08,4,24.965,46.21112244898,01,04
2192,ZR,2019-01-04,2019-01-08,4,18.755,35.044023809524,01,04
5641,ZD,2019-01-04,2019-01-09,5,37.564,65.986099173554,01,04
